Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Assembly BioProject Accession	Assembly BioSample Accession
GCA_003702975.1	ASM370297v1	Pseudomonas savastanoi		ICMP 11895					PRJNA292453	SAMN03976340
GCF_003702975.1	ASM370297v1	Pseudomonas savastanoi		ICMP 11895					PRJNA292453	SAMN03976340
GCA_003702965.1	ASM370296v1	Pseudomonas savastanoi		ICMP 11899					PRJNA292453	SAMN03976342
GCF_003702965.1	ASM370296v1	Pseudomonas savastanoi		ICMP 11899					PRJNA292453	SAMN03976342
GCA_003701705.1	ASM370170v1	Pseudomonas savastanoi		ICMP 9421					PRJNA292453	SAMN03976384
GCF_003701705.1	ASM370170v1	Pseudomonas savastanoi		ICMP 9421					PRJNA292453	SAMN03976384
GCA_003701865.1	ASM370186v1	Pseudomonas savastanoi		ICMP 13684					PRJNA292453	SAMN03976376
GCF_003701865.1	ASM370186v1	Pseudomonas savastanoi		ICMP 13684					PRJNA292453	SAMN03976376
GCA_003699395.1	ASM369939v1	Pseudomonas savastanoi		0485_9					PRJNA292453	SAMN03976513
GCF_003699395.1	ASM369939v1	Pseudomonas savastanoi		0485_9					PRJNA292453	SAMN03976513
GCA_000935695.1	PSAVPseNe107-G1	Pseudomonas savastanoi pv. savastanoi		PseNe107					PRJNA274668	SAMN03328984
GCF_000935695.1	PSAVPseNe107-G1	Pseudomonas savastanoi pv. savastanoi		PseNe107					PRJNA274668	SAMN03328984
GCA_013911125.1	ASM1391112v1	Pseudomonas savastanoi pv. savastanoi		UPN912					PRJNA638121	SAMN15196490
GCF_013911125.1	ASM1391112v1	Pseudomonas savastanoi pv. savastanoi		UPN912					PRJNA638121	SAMN15196490
GCA_003699365.1	ASM369936v1	Pseudomonas savastanoi pv. savastanoi		ICMP 13519					PRJNA292453	SAMN03976515
GCF_003699365.1	ASM369936v1	Pseudomonas savastanoi pv. savastanoi		ICMP 13519					PRJNA292453	SAMN03976515
